"HPO","Ancestors","definition"
"HP:0025541","HP:0025541;HP:0005339;HP:0005368;HP:0010978;HP:0002715;HP:0000118;HP:0000001","Decreased activity of complement receptor"
"HP:0025546","HP:0025546;HP:0011902;HP:0001877;HP:0001871;HP:0000118;HP:0000001","Abnormal mean corpuscular hemoglobin"
"HP:0025547","HP:0025547;HP:0025546;HP:0011902;HP:0001877;HP:0001871;HP:0000118;HP:0000001","Decreased mean corpuscular hemoglobin"
"HP:0025548","HP:0025548;HP:0025546;HP:0011902;HP:0001877;HP:0001871;HP:0000118;HP:0000001","Increased mean corpuscular hemoglobin"
"HP:0025549","HP:0025549;HP:0025404;HP:0000496;HP:0012373;HP:0000478;HP:0000118;HP:0000001","Eccentric visual fixation"
"HP:0025550","HP:0025550;HP:0011013;HP:0001939;HP:0000118;HP:0000001","Elevated circulating ribitol concentration"
"HP:0025551","HP:0025551;HP:0000587;HP:0001098;HP:0004329;HP:0012374;HP:0012372;HP:0000478;HP:0000118;HP:0000001","Optic nerve misrouting"
"HP:0025552","HP:0025552;HP:0000606;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Periorbital purpura"
"HP:0025553","HP:0025553;HP:0000606;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Periorbital ecchymosis with tarsal plate sparing"
"HP:0025554","HP:0025554;HP:0200036;HP:0011355;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001","Yellow nodule"
"HP:0025555","HP:0025555;HP:0100585;HP:0001009;HP:0011276;HP:0002597;HP:0001626;HP:0000118;HP:0000001;HP:0011354;HP:0011121;HP:0000951;HP:0001574","Periungual teleangiectasia"
"HP:0030000","HP:0030000;HP:0003457;HP:0011804;HP:0003011;HP:0000118;HP:0000001","EMG: repetitive nerve stimulation abnormality"
"HP:0030001","HP:0030001;HP:0000492;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Lagopthalmos"
"HP:0030002","HP:0030002;HP:0030001;HP:0000492;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Nocturnal lagophthalmos"
"HP:0030003","HP:0030003;HP:0030001;HP:0000492;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Paralytic lagophthalmos"
"HP:0030004","HP:0030004;HP:0030001;HP:0000492;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Cicatricial lagophthalmos"
"HP:0030005","HP:0030005;HP:0025018;HP:0030163;HP:0002597;HP:0001626;HP:0000118;HP:0000001;HP:0011025","Capillary leak"
"HP:0030006","HP:0030006;HP:0003457;HP:0011804;HP:0003011;HP:0000118;HP:0000001","Single fiber EMG abnormality"
"HP:0030007","HP:0030007;HP:0003482;HP:0003457;HP:0011804;HP:0003011;HP:0000118;HP:0000001","EMG: positive sharp waves"
"HP:0030008","HP:0030008;HP:0012888;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Cervical agenesis"
"HP:0030009","HP:0030009;HP:0012888;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Cervical insufficiency"
"HP:0030010","HP:0030010;HP:0000142;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Hydrometrocolpos"
"HP:0030011","HP:0030011;HP:0000142;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Imperforate hymen"
"HP:0030012","HP:0030012;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Abnormal female reproductive system physiology"
"HP:0030013","HP:0030013;na","obsolete Endometriosis"
"HP:0030014","HP:0030014;HP:0030012;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Female sexual dysfunction"
"HP:0030015","HP:0030015;HP:0030014;HP:0030012;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Female anorgasmia"
"HP:0030016","HP:0030016;HP:0030014;HP:0030012;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Dyspareunia"
"HP:0030017","HP:0030017;HP:0030014;HP:0030012;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Vaginismus"
"HP:0030018","HP:0030018;HP:0030014;HP:0030012;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Decreased female libido"
"HP:0030019","HP:0030019;HP:0030014;HP:0030012;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001","Increased female libido"
"HP:0030021","HP:0030021;HP:0000377;HP:0000356;HP:0000598;HP:0000118;HP:0000001","Auricular tag"
"HP:0030022","HP:0030022;HP:0000377;HP:0000356;HP:0000598;HP:0000118;HP:0000001","Question mark ear"
"HP:0030023","HP:0030023;HP:0000377;HP:0000356;HP:0000598;HP:0000118;HP:0000001","Quelprud Nodule"
"HP:0030024","HP:0030024;HP:0000383;HP:0004426;HP:0000309;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Pretragal ectopia"
"HP:0030025","HP:0030025;HP:0000377;HP:0000356;HP:0000598;HP:0000118;HP:0000001","Auricular pit"
"HP:0030026","HP:0030026;HP:0011039;HP:0000377;HP:0000356;HP:0000598;HP:0000118;HP:0000001","Squared superior portion of helix"
"HP:0030027","HP:0030027;HP:0010938;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the nasal cartilage"
"HP:0030028","HP:0030028;HP:0030027;HP:0010938;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Absent nasal cartilage"
"HP:0030029","HP:0030029;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068","Splayed fingers"
"HP:0030030","HP:0030030;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064","Absent ray"
"HP:0030031","HP:0030031;HP:0001991;HP:0001780;HP:0001760;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0006494;HP:0006493;HP:0040069;HP:0045060;HP:0009815;HP:0009115","Small toe"
"HP:0030032","HP:0030032;HP:0006494;HP:0001760;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0006493;HP:0040069;HP:0040068;HP:0000924;HP:0045060;HP:0002813;HP:0011844;HP:0011842;HP:0009815;HP:0009115","Partial absence of foot"
"HP:0030033","HP:0030033;HP:0006265;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005927;HP:0006496;HP:0045060;HP:0009815;HP:0009115","Small finger"
"HP:0030034","HP:0030034;HP:0000095;HP:0012575;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0031263;HP:0011035","Diffuse glomerular basement membrane lamellation"
"HP:0030035","HP:0030035;HP:0000787;HP:0012210;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Struvite nephrolithiasis"
"HP:0030036","HP:0030036;HP:0012211;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001;HP:0011277","Isothenuria"
"HP:0030037","HP:0030037;HP:0000073;HP:0000069;HP:0010935;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Bifid ureter"
"HP:0030038","HP:0030038;HP:0010622;HP:0011793;HP:0002664;HP:0000118;HP:0000001;HP:0011842;HP:0000924","Enchondroma"
"HP:0030039","HP:0030039;HP:0002948;HP:0003422;HP:0003468;HP:0000925;HP:0009121;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0100240;HP:0011729;HP:0001367","Fused thoracic vertebrae"
"HP:0030040","HP:0030040;HP:0002948;HP:0003422;HP:0003468;HP:0000925;HP:0009121;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0100240;HP:0011729;HP:0001367","Fused lumbar vertebrae"
"HP:0030041","HP:0030041;HP:0003468;HP:0000925;HP:0009121;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Schmorl's node"
"HP:0030042","HP:0030042;HP:0009105;HP:0003172;HP:0003272;HP:0002644;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0009106;HP:0003336;HP:0011849;HP:0003330","Incomplete ossification of pubis"
"HP:0030043","HP:0030043;HP:0001384;HP:0003272;HP:0002644;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0005262;HP:0001367;HP:0100491;HP:0002814;HP:0040064","Hip subluxation"
"HP:0030044","HP:0030044;HP:0001371;HP:0003549;HP:0000118;HP:0000001;HP:0011729;HP:0001367;HP:0011842;HP:0000924;HP:0011805;HP:0003011;HP:0100261","Flexion contracture of digit"
"HP:0030045","HP:0030045;HP:0002991;HP:0002981;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0040066;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0040069","Serpentine fibula"
"HP:0030046","HP:0030046;HP:0030112;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Hypoglycosylation of alpha-dystroglycan"
"HP:0030047","HP:0030047;HP:0002118;HP:0012443;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Abnormality of lateral ventricle"
"HP:0030048","HP:0030048;HP:0030047;HP:0002118;HP:0012443;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Colpocephaly"
"HP:0030049","HP:0030049;HP:0011450;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Brain abscess"
"HP:0030050","HP:0030050;HP:0002360;HP:0000708;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Narcolepsy"
"HP:0030051","HP:0030051;HP:0001288;HP:0100022;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Tip-toe gait"
"HP:0030052","HP:0030052;HP:0001480;HP:0001000;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001","Inguinal freckling"
"HP:0030053","HP:0030053;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001","Stiff skin"
"HP:0030054","HP:0030054;HP:0031285;HP:0011355;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001","Perifollicular fibrosis"
"HP:0030055","HP:0030055;HP:0001795;HP:0002164;HP:0001597;HP:0011138;HP:0001574;HP:0000118;HP:0000001","Hyperconvex toenail"
"HP:0030056","HP:0030056;HP:0010719;HP:0001595;HP:0011138;HP:0001574;HP:0000118;HP:0000001","Uncombable hair"
"HP:0030057","HP:0030057;HP:0002960;HP:0010978;HP:0002715;HP:0000118;HP:0000001","Autoimmune antibody positivity"
"HP:0030058","HP:0030058;HP:0004447;HP:0001877;HP:0001871;HP:0000118;HP:0000001","Sickled erythrocytes"
"HP:0030059","HP:0030059;HP:0003287;HP:0012103;HP:0011017;HP:0001939;HP:0000118;HP:0000001","Mitochondrial depletion"
"HP:0030060","HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Nervous tissue neoplasm"
"HP:0030061","HP:0030061;HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Neuroectodermal neoplasm"
"HP:0030062","HP:0030062;HP:0030061;HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Craniopharyngioma"
"HP:0030063","HP:0030063;HP:0030061;HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Neuroepithelial neoplasm"
"HP:0030064","HP:0030064;HP:0030063;HP:0030061;HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Neurocytoma"
"HP:0030065","HP:0030065;HP:0030063;HP:0030061;HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Primitive neuroectodermal tumor"
"HP:0030066","HP:0030066;HP:0030070;HP:0030065;HP:0030063;HP:0030061;HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Ependymoblastoma"
"HP:0030067","HP:0030067;HP:0030065;HP:0030063;HP:0030061;HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Peripheral primitive neuroectodermal neoplasm"
"HP:0030068","HP:0030068;HP:0003006;HP:0004376;HP:0100836;HP:0100006;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001;HP:0004375;HP:0011793;HP:0002664;HP:0030067;HP:0030065;HP:0030063;HP:0030061;HP:0030060;HP:0011792","Olfactory esthesioneuroblastoma"
"HP:0030069","HP:0030069;HP:0012539;HP:0002665;HP:0004377;HP:0001871;HP:0000118;HP:0000001;HP:0011793;HP:0002664","Primary central nervous system lymphoma"
"HP:0030070","HP:0030070;HP:0030065;HP:0030063;HP:0030061;HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Central primitive neuroectodermal tumor"
"HP:0030071","HP:0030071;HP:0030070;HP:0030065;HP:0030063;HP:0030061;HP:0030060;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Medulloepithelioma"
"HP:0030072","HP:0030072;HP:0000245;HP:0011821;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924;HP:0012720;HP:0012289;HP:0012288;HP:0011793;HP:0002664;HP:0100630;HP:0001739;HP:0000366;HP:0000271;HP:0000600;HP:0100606;HP:0002086","Paranasal sinus neoplasm"
"HP:0030073","HP:0030073;na","Neoplasm of the pharynx"
"HP:0030074","HP:0030074;HP:0002668;HP:0100634;HP:0100007;HP:0000759;HP:0012639;HP:0000707;HP:0000118;HP:0000001;HP:0004375;HP:0011793;HP:0002664;HP:0100568;HP:0000818","Chemodectoma"
"HP:0030075","HP:0030075;HP:0100013;HP:0011793;HP:0002664;HP:0000118;HP:0000001;HP:0031093;HP:0000769","Ductal carcinoma in situ"
"HP:0030076","HP:0030076;HP:0100013;HP:0011793;HP:0002664;HP:0000118;HP:0000001;HP:0031093;HP:0000769","Lobular carcinoma in situ"
"HP:0030077","HP:0030077;HP:0002109;HP:0005607;HP:0002087;HP:0012252;HP:0002086;HP:0000118;HP:0000001;HP:0100526;HP:0002088;HP:0100606;HP:0011793;HP:0002664","Bronchial neoplasm"
"HP:0030078","HP:0030078;HP:0030358;HP:0100526;HP:0002088;HP:0012252;HP:0002086;HP:0000118;HP:0000001;HP:0100606;HP:0011793;HP:0002664","Lung adenocarcinoma"
"HP:0030079","HP:0030079;HP:0010784;HP:0010787;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0007379;HP:0011793;HP:0002664;HP:0031105;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0010460;HP:0012888","Cervix cancer"
"HP:0030080","HP:0030080;HP:0012539;HP:0002665;HP:0004377;HP:0001871;HP:0000118;HP:0000001;HP:0011793;HP:0002664","Burkitt lymphoma"
"HP:0030081","HP:0030081;HP:0002518;HP:0002352;HP:0002060;HP:0100547;HP:0012443;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001;HP:0002500;HP:0010993;HP:0030891;HP:0030890","Punctate periventricular T2 hyperintense foci"
"HP:0030082","HP:0030082;HP:0040202;HP:0000708;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Abnormal drinking behavior"
"HP:0030083","HP:0030083;HP:0100738;HP:0040202;HP:0000708;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Salt craving"
"HP:0030084","HP:0030084;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064","Clinodactyly"
"HP:0030085","HP:0030085;HP:0025454;HP:0002921;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Abnormal CSF lactate level"
"HP:0030086","HP:0030086;HP:0030085;HP:0025454;HP:0002921;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Reduced CSF lactate"
"HP:0030087","HP:0030087;HP:0008373;HP:0000818;HP:0000118;HP:0000001;HP:0030347;HP:0003117","Abnormal serum testosterone level"
"HP:0030088","HP:0030088;HP:0030087;HP:0008373;HP:0000818;HP:0000118;HP:0000001;HP:0030347;HP:0003117;HP:0030348","Increased serum testosterone level"
"HP:0030089","HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber protein expression"
"HP:0030090","HP:0030090;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber merosin expression"
"HP:0030091","HP:0030091;HP:0030090;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Absent muscle fiber merosin"
"HP:0030092","HP:0030092;HP:0030090;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber merosin"
"HP:0030093","HP:0030093;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber laminin beta 1"
"HP:0030094","HP:0030094;HP:0030093;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber laminin beta 1"
"HP:0030095","HP:0030095;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle collagen VI"
"HP:0030096","HP:0030096;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber dystrophin expression"
"HP:0030097","HP:0030097;HP:0030096;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Absent muscle dystrophin expression"
"HP:0030098","HP:0030098;HP:0030096;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle dystrophin expression"
"HP:0030099","HP:0030099;HP:0030112;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber alpha dystroglycan"
"HP:0030100","HP:0030100;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber alpha sarcoglycan"
"HP:0030101","HP:0030101;HP:0030100;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Absent muscle fiber alpha sarcoglycan"
"HP:0030102","HP:0030102;HP:0030100;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber alpha sarcoglycan"
"HP:0030103","HP:0030103;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber beta sarcoglycan"
"HP:0030104","HP:0030104;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber gamma sarcoglycan"
"HP:0030105","HP:0030105;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber delta sarcoglycan"
"HP:0030106","HP:0030106;HP:0030103;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Absent muscle fiber beta sarcoglyan"
"HP:0030107","HP:0030107;HP:0030103;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber beta sarcoglycan"
"HP:0030108","HP:0030108;HP:0030104;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber gamma sarcoglycan"
"HP:0030109","HP:0030109;HP:0030104;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Absent muscle fiber gamma sarcoglycan"
"HP:0030110","HP:0030110;HP:0030105;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Absent muscle fiber delta sarcoglycan"
"HP:0030111","HP:0030111;HP:0030105;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber delta sarcoglycan"
"HP:0030112","HP:0030112;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber alpha dystroglycan"
"HP:0030113","HP:0030113;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber dysferlin"
"HP:0030114","HP:0030114;HP:0030113;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Absent muscle fiber dysferlin"
"HP:0030115","HP:0030115;HP:0030113;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber dysferlin"
"HP:0030116","HP:0030116;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber emerin"
"HP:0030117","HP:0030117;HP:0030116;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Absent muscle fiber emerin"
"HP:0030118","HP:0030118;HP:0030116;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber emerin"
"HP:0030119","HP:0030119;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber calpain-3"
"HP:0030120","HP:0030120;HP:0030119;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Absent muscle fiber calpain-3"
"HP:0030121","HP:0030121;HP:0030119;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber calpain-3"
"HP:0030122","HP:0030122;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber perlecan"
"HP:0030123","HP:0030123;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Abnormal muscle fiber lamin A/C"
"HP:0030124","HP:0030124;HP:0030123;HP:0030089;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Reduced muscle fiber lamin A/C"
"HP:0030125","HP:0030125;HP:0002948;HP:0003422;HP:0003468;HP:0000925;HP:0009121;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0100240;HP:0011729;HP:0001367","Sacralization of the fifth lumbar vertebra"
"HP:0030126","HP:0030126;HP:0031105;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Abnormality of the endometrium"
"HP:0030127","HP:0030127;HP:0030012;HP:0000080;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0030126;HP:0031105;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0010460","Endometriosis"
"HP:0030129","HP:0030129;HP:0012146;HP:0003256;HP:0001928;HP:0001871;HP:0000118;HP:0000001","Impaired ristocetin cofactor assay activity"
"HP:0030130","HP:0030130;HP:0012146;HP:0003256;HP:0001928;HP:0001871;HP:0000118;HP:0000001","Impaired von Willibrand factor collagen binding activity"
"HP:0030131","HP:0030131;HP:0012146;HP:0003256;HP:0001928;HP:0001871;HP:0000118;HP:0000001","Abnormal von Willebrand factor multimer distribution"
"HP:0030132","HP:0030132;HP:0030131;HP:0012146;HP:0003256;HP:0001928;HP:0001871;HP:0000118;HP:0000001","Absence of large von Willibrand factor multimers"
"HP:0030133","HP:0030133;HP:0030131;HP:0012146;HP:0003256;HP:0001928;HP:0001871;HP:0000118;HP:0000001","Abnormal presence of ultra-large von Willebrand factor multimers"
"HP:0030134","HP:0030134;HP:0030131;HP:0012146;HP:0003256;HP:0001928;HP:0001871;HP:0000118;HP:0000001","Total absence von Willebrand factor multimers"
"HP:0030135","HP:0030135;HP:0030131;HP:0012146;HP:0003256;HP:0001928;HP:0001871;HP:0000118;HP:0000001","Absence of intermediate von Willibrand factor multimers"
"HP:0030136","HP:0030136;HP:0012146;HP:0003256;HP:0001928;HP:0001871;HP:0000118;HP:0000001","Enhanced ristocetin cofactor assay activity"
"HP:0030137","HP:0030137;HP:0011890;HP:0001892;HP:0001871;HP:0000118;HP:0000001","Prolonged bleeding following circumcision"
"HP:0030138","HP:0030138;HP:0001892;HP:0001871;HP:0000118;HP:0000001","Excessive bleeding from superficial cuts"
"HP:0030139","HP:0030139;HP:0001892;HP:0001871;HP:0000118;HP:0000001","Excessive bleeding after a venipuncture"
"HP:0030140","HP:0030140;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0001892;HP:0001871","Oral cavity bleeding"
"HP:0030141","HP:0030141;HP:0009553;HP:0011361;HP:0010720;HP:0001595;HP:0011138;HP:0001574;HP:0000118;HP:0000001;HP:0100037;HP:0001965;HP:0000234;HP:0000152","Abnormality of the posterior hairline"
"HP:0030142","HP:0030142;HP:0011458;HP:0025032;HP:0025031;HP:0000118;HP:0000001","Abnormal bowel sounds"
"HP:0030143","HP:0030143;HP:0030142;HP:0011458;HP:0025032;HP:0025031;HP:0000118;HP:0000001","Hyperactive bowel sounds"
"HP:0030144","HP:0030144;HP:0030142;HP:0011458;HP:0025032;HP:0025031;HP:0000118;HP:0000001","Hypoactive bowel sounds"
"HP:0030145","HP:0030145;HP:0030142;HP:0011458;HP:0025032;HP:0025031;HP:0000118;HP:0000001","Lack of bowel sounds"
"HP:0030146","HP:0030146;HP:0410042;HP:0001392;HP:0002012;HP:0025031;HP:0000118;HP:0000001","Abnormal liver parenchyma morphology"
"HP:0030147","HP:0030147;HP:0030187;HP:0002345;HP:0001337;HP:0004305;HP:0100022;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Truncal titubation"
"HP:0030148","HP:0030148;HP:0011025;HP:0001626;HP:0000118;HP:0000001","Heart murmur"
"HP:0030149","HP:0030149;HP:0031273;HP:0011025;HP:0001626;HP:0000118;HP:0000001","Cardiogenic shock"
"HP:0030150","HP:0030150;HP:0004332;HP:0001881;HP:0001871;HP:0000118;HP:0000001;HP:0010987;HP:0002715","Plasmacytosis"
"HP:0030151","HP:0030151;HP:0012440;HP:0001080;HP:0004297;HP:0001392;HP:0002012;HP:0025031;HP:0000118;HP:0000001;HP:0012649;HP:0012647;HP:0010978;HP:0002715","Cholangitis"
"HP:0030152","HP:0030152;na","obsolete Biliary tract neoplasm"
"HP:0030153","HP:0030153;HP:0100574;HP:0007378;HP:0011024;HP:0025031;HP:0000118;HP:0000001;HP:0011793;HP:0002664;HP:0012440;HP:0001080;HP:0004297;HP:0001392;HP:0002012","Cholangiocarcinoma"
"HP:0030154","HP:0030154;HP:0012437;HP:0005264;HP:0004297;HP:0001392;HP:0002012;HP:0025031;HP:0000118;HP:0000001","Gallbladder perforation"
"HP:0030155","HP:0030155;HP:0000045;HP:0000032;HP:0000811;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010461;HP:0012531;HP:0025142","Scrotal pain"
"HP:0030156","HP:0030156;HP:0000093;HP:0003110;HP:0001939;HP:0000118;HP:0000001;HP:0011277;HP:0000079;HP:0000119","Bence Jones Proteinuria"
"HP:0030157","HP:0030157;HP:0012531;HP:0025142;HP:0000118;HP:0000001","Flank pain"
"HP:0030158","HP:0030158;HP:0012888;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Cervical ectropion"
"HP:0030159","HP:0030159;HP:0012888;HP:0000130;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0000118;HP:0000001;HP:0010460","Cervical polyp"
